LineageTaxIDs,Lineage,Organism,Phylum,Class,Order,Family,Genus,Predictors,Replicon,nuoA,nuoB,nuoC,nuoD,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,TotalSubunits
1392,Bacillus anthracis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,0,0,1,1,1,1,1,1,1,1,12
1392,Bacillus anthracis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,COGs+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
623,Shigella flexneri,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
623,Shigella flexneri,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
623,Shigella flexneri,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,1,1,1,0,0,1,5
216816,Bifidobacterium longum,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,1,0,1,0,1,0,1,1,1,1,1,1,9
216816,Bifidobacterium longum,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,1,0,1,1,1,0,1,1,1,1,1,1,10
216816,Bifidobacterium longum,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
731,Histophilus somni,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,1,0,1,0,0,0,0,1,4
731,Histophilus somni,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,1,0,1,0,1,0,0,1,5
317,Pseudomonas syringae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
317,Pseudomonas syringae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
317,Pseudomonas syringae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1311,Streptococcus agalactiae,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,OurGenes+HMMER,undefined,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1311,Streptococcus agalactiae,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,OurGenes+HMMER,chromosome,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3
287,Pseudomonas aeruginosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
287,Pseudomonas aeruginosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
287,Pseudomonas aeruginosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,1,0,1,1,1,0,1,1,1,1,1,1,10
672,Vibrio vulnificus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurGenes+HMMER,undefined,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
672,Vibrio vulnificus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10
672,Vibrio vulnificus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2099,Mesomycoplasma hyopneumoniae,Bacteria,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mesomycoplasma,OurProteins+HMMER; COGs+HMMER,undefined,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2099,Mesomycoplasma hyopneumoniae,Bacteria,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mesomycoplasma,OurProteins+HMMER; COGs+HMMER,chromosome,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1307,Streptococcus suis,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4
1307,Streptococcus suis,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,1,0,0,1,1,1,1,1,1,0,0,1,8
1096,Chlorobium phaeobacteroides,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13
470,Acinetobacter baumannii,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
470,Acinetobacter baumannii,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
470,Acinetobacter baumannii,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
770,Anaplasma marginale,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
770,Anaplasma marginale,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1402,Bacillus licheniformis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
1402,Bacillus licheniformis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
1402,Bacillus licheniformis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
817,Bacteroides fragilis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,0,1,0,1,1,1,1,1,1,1,12
817,Bacteroides fragilis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,0,1,1,1,1,1,1,1,13
622,Shigella dysenteriae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
622,Shigella dysenteriae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
622,Shigella dysenteriae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
